TemplateID	LmQuery	Query
719	год журнал задание наряд сколько храниться	сколько лет хранятся журналы нарядов заданий
719	допуск журнал наряд хранение	хранение журнала нарядов допусков
719	год журнал наряд сколько храниться	сколько лет хранятся журналы нарядов
719	журнал наряд срок хранение	срок хранения журнал нарядов
2521	выбирать выбор государственный или инспектор когда наказание он охрана предупреждение руководствоваться труд чем штраф	у государственного инспектора по охране труда выбор наказания предупреждение или штраф, чем он руководствуется когда выбирает
2521	1 27 5 статья штраф	статья 5.27. 1 штрафы
2521	нарушение охрана сравнение труд штраф	сравнение штрафов на нарушение по охране труда
2521	гит невыполнение предписание сумма штраф	сумма штрафа за невыполнение предписания гит
2521	какой несоблюдение охрана срок труд штраф	какой штраф за несоблюдение сроков охраны труда
2521	гит проверка штраф	штрафы при проверки гит
8661	18 день дополнительный отпуск соглашение	дополнительное соглашение на отпуск 18 дней
8661	дополнительный отпуск соглашение	дополнительное соглашение об отпуске
8661	вредность дополнительный допы отпуск соглашение	доп. соглашение дополнительный отпуск за вредность
8661	дополнительный допы отпуск соглашение	дополнительное соглашение доп. отпуск
17470	начало приказ соут	приказ о начале соут
17470	организация оценка приказ проведение проведение специальный спецоценка труд условие	приказ об организации проведении специальной оценки условий труда на проведение спецоценки
17470	образец приказ проведение соут	приказ о проведении соут образец
17470	организация приказ проект спецоценка	проект приказа по спецоценке в организации
12402	медосмотр отстранение приказ работа	приказ об отстранении от работ по медосмотру
12402	медицинский не осмотр отстранение приказ проходить работа	приказ об отстранения от работы не прошедшего медицинский осмотр
12402	медосмотр освобождение приказ прохождение работа с связь	приказ об освобождении от работы в связи с прохождением медосмотра?
12402	медицинский не осмотр отстранять периодический проходить работник	Как отстранить работника не прошедшего периодический медицинский осмотр
12402	медосмотр наказание непройти приказ	приказ о наказании за непройденный медосмотр
12734	медосмотр перенос приказ проведение срок	приказ о переносе срока проведения медосмотра
12734	455 медосмотр перенос приказ	приказ 455 о переносе медосмотров
12734	медосмотр перенос периодический приказ прохождение срок	приказ о переносе сроков прохождения периодических медосмотров
12734	корона медосмотр отмена приказ	приказ на отмену медосмотров корон
12734	медосмотр пандемия перенос приказ с связь	приказ о переносе медосмотров в связи с пандемией
12734	медосмотр пандемия период периодический приказ	приказ о периодических медосмотрах в период пандемии
12734	01 10 2020 действие медосмотр приказ продление срок	приказ о продлении срока действия медосмотра до 01.10.2020
12396	график медосмотр обязательный периодический приказ утверждение	приказ об утверждении графика обязательного периодического медосмотра
12396	календарный медосмотр план приказ	приказ календарный план медосмотров
12846	возврат деньги медосмотр приказ	приказ о возврате денег за медосмотр
12846	возмещение медосмотр приказ работник	приказ о возмещении работникам за медосмотр
12817	внеочередной медицинский осмотр приказ	приказ на внеочередной медицинский осмотр
12817	внеплановый медосмотр приказ	приказ на внеплановый медосмотр
13160	медицинский направление новый осмотр предварительный	новое направление на предварительный медицинский осмотр
13160	29н медосмотр направление направление образец предварительный приказ	образец направления направления на предварительный медосмотр по приказу № 29н
13160	изменение медосмотр направление	направление на медосмотры изменения
13160	01 2021 28 29н г медицинский направление образец осмотр предварительный приказ прохождение	образец направления для прохождения предварительного медицинского осмотра по приказу № 29н от 28.01.2021 г
13160	медосмотр направление рекомендовать форма	рекомендуемая форма направления на медосмотр
13160	или медосмотр направление периодический предварительный	направление на предварительный или периодический медосмотр
13160	29н медосмотр направление пр	направление на медосмотр по пр.29н
13160	302 медосмотр н направление	направление на медосмотр по 302-н
13160	медосмотр направление первичный шаблон	шаблон направления на первичный медосмотр
13160	заполнение медосмотр направление образец	образец заполнения направления на медосмотр
13160	01 01 2021 г медосмотр направление с	направление на медосмотр с 01.01.2021 г.
13160	2021г медицинский направление осмотр с	направление на медицинский осмотр с 2021г.
13160	8 медицинский направление настоящий осмотр оформлять периодический порядок пункт с соответствие	направление на периодический медицинский осмотр, оформленное в соответствии с пунктом 8 настоящего порядка.
13160	должность медосмотр направление	направления на медосмотр по должностям
13160	2021 медосмотр направление периодический	направление на периодический медосмотр 2021
13160	ежегодный медосмотр направление	направление на ежегодный медосмотр
13677	выдача журнал медицинский направление осмотр предварительный учет	журнал учета выдачи направлений на предварительный медицинский осмотр
13677	выдача журнал медицинский направление осмотр	журнал выдачи направлений на медицинский осмотр
13677	журнал медосмотр периодический учет	журнал учета периодического медосмотра
13677	выдача документ журнал заводить медосмотр направление нормативный учет	завести журнал учета выдачи направлений на медосмотр нормативный документ
13677	журнал медосмотр направление регистрация типовой	типовой журнал регистрации направления на медосмотр
