TemplateID	LmQuery	Query
971	ликвидация ооо срок	ликвидация ооо сроки
971	добровольный ликвидация ооо срок	срок добровольной ликвидации ооо
550	коронавирус область распоряжение ростовский	Ростовская область распоряжение о коронавирусе
550	273 зс область ростовский	Ростовская область № 273-ЗС
550	вид деятельность область приостанавливать ростовский	виды деятельности приостановили Ростовская область
548	закон коронавирус область челябинский	челябинская область закон о коронавирусе
548	191 область рп челябинский	Челябинской области № 191-рп
548	вид деятельность область приостанавливать челябинский	виды деятельности приостановили челябинская область
548	карантин коронавирус область с связь челябинский	карантин в связи с коронавирусом в челябинская область
545	губернатор московский область указ	указ губернатора московской области
545	2019 имущественный министерство московский область отношение распоряжение	распоряжение министерства имущественных отношений московской области 2019
545	губернатор коронавирус московский область постановление с связь	постановление губернатора московской области в связи с коронавирусом
545	деятельность московский область приостанавливать	деятельность приостановили московская область
545	11 2013 27 566 n вместе государственный земельный земля кадастровый минэкологии мо московский населенный область оценка пункт распоряжение результат рм с состав утверждение участок	"распоряжение минэкологии мо от 27.11.2013 n 566-рм ""об утверждении результатов государственной кадастровой оценки земельных участков в составе земель населенных пунктов московской области"" (вместе с"
545	09 10 2018 607 внесение и и изменение министерство министерство московский московский область область природопользование природопользование распоряжение распоряжение рм экология экология	"распоряжение министерства экологии и природопользования московской области от 09.10.2018 № 607-рм ""о внесении изменений в распоряжение министерства экологии и природопользования московской области от"
544	12 2020 2020 39 4 5 апрель внесение г год изменение март москва москва мэр мэр указ указ ум ум	"указ мэра москвы от 4 апреля 2020 года № 39-ум ""о внесении изменений в указ мэра москвы от 5 марта 2020 г. № 12-ум"""
544	04 04 2020 39 выполнение г г и москва мэр указ ум	выполнения указа мэра г. москвы № 39-ум от 04.04.2020 г. и
544	12 2020 5 внесение г изменение март москва москва мэр мэр указ указ ум	"указ мэра москвы ""о внесении изменений в указ мэра москвы от 5 марта 2020 г. № 12-ум"""
544	3 39 москва мэр приложение указ ум	приложение 3 к указу мэра москвы 39-ум
544	кафе коронавирус москва мэр приостанавливать работа распоряжение	распоряжение мэра москвы приостановить работу кафе коронавирус
544	05 3 москва мэр приложение указ	приложение 3 к указ мэра москвы от 05
544	день москва мэр нерабочий приказ	нерабочие дни приказ мэра москвы
544	12 2020 5 введение год готовность март москва мэр повышенный режим указ ум	"указ мэра москвы от 5 марта 2020 года № 12-ум ""о введении режима повышенной готовности"""
544	03 05 12 2020 москва мэр указ ум	указа мэра москвы от 05.03.2020 № 12-ум
544	москва мэр указ	указы мэре москвы
544	26 москва мэр указ ум	указ мэра москвы № 26-ум
