TemplateID	LmQuery	Query
32733	д класс отход работа с схема	схема работы с отходами класса д
32733	д класс отходы сопа	соп отходы класса д
410376	лист медорганизация организация охрана труд чек	Чек-лист по организации охраны труда в медорганизации
410376	лист охрана руководитель труд чек	чек-листы для руководителя по охране труда
1374	защита индивидуальный коронавирус надевание сопа средство	соп надевания средств индивидуальной защиты при коронавирусе
1374	алгоритм костюм наглядно одевание противочумный	алгоритм одевания противочумного костюма наглядно
1374	и комбинезон надевать противочумный снимать сопа	соп надеть и снять противочумный комбинезон
1374	алгоритм одевание сизый	алгоритм одевания сиз
1374	внешний защитный инфицировать костюм который многоразовый порядок потенциально снятие сопа сторона	соп порядок снятия многоразового защитного костюма, внешняя сторона которых потенциально инфицирована.
1374	алгоритм защитный и костюм надевать оои противочумный снимать	алгоритм как надевать и снимать защитный противочумный костюм при оои
1375	использование респиратор сопа	соп использование респираторов
1375	алгоритм использование маска	алгоритм использования маски
1375	алгоритм маска многоразовый обработка сопа	соп алгоритм обработки многоразовых масок
1375	алгоритм респиратор снятие	алгоритм снятия респиратора
1375	алгоритм маска обработка одноразовый	алгоритм обработки одноразовой маски
1371	блок выполнение генеральный сопа схема уборка	соп генеральная уборка блок схема выполнения
1371	генеральный сопа уборка	сопы генеральная уборка
1371	ген инструкция проведение уборка	инструкция по проведению ген уборки
1371	алгоритм генеральный лист санпин сопа уборка чек	генеральная уборка чек-листы, соп, алгоритмы СанПиН
1371	генеральный операционный проведение процедура стандартный уборка	стандартная операционная процедура при проведении генеральной уборки
1373	аптека сопа стационар	соп аптека в стационаре
1373	сопа фармацевт	сопы для фармацевта
1373	аптека медицинский организация сопа	соп для аптеки медицинской организации
1370	2019 covid дезинфекция заключительный сопа	соп по заключительной дезинфекции при covid-2019
1370	заключительный проведение сопа уборка	соп по проведению заключительной уборке
1370	заключительный инфекционный проведение сопа стационар уборка	соп проведение заключительной уборки в инфекционном стационаре
2110	во время журнал заполнять пандемия текущий уборка	как заполнять журнал текущих уборок во время пандемии
2110	вести весь журнал помещение проведение текущий уборка	нужно ли вести журнал проведения текущих уборок всех помещений
2110	дополнительный журнал и текущий уборка	журнал текущей и дополнительной уборки
2110	дополнительный журнал и медицинский текущий уборка учреждение	журнал текущей и дополнительной уборки в медицинском учреждении
2110	журнал контроль уборка	контроль за уборкой журнал
2110	влажный журнал проведение уборка шаблон	шаблон журнала по проведению влажных уборок
