TemplateID	LmQuery	Query
36577	договор документация рабочий разработка	договор на разработку рабочей документации
36577	авторский договор надзор подряд псд разработка с	договор подряда на разработку псд с авторским надзором
404083	воздействие должный кто негативный окружающий платить среда	кто должен платить за негативное воздействие на окружающую среду
404083	кто нвос платить	кто платит нвос
430982	гибдд действие обжалование	обжалование действий гибдд
430982	обжаловать штраф	обжаловать штраф
430982	нарушение обжаловать пдд постановление	как обжаловать постановление о нарушении пдд
541959	2 оп отходы сдавать тп	как сдавать 2-тп отходы в оп
541959	2 а каждый лицо не отходы отчет подавать подразделение тп целое юр	можно ли подавать отчет 2-ТП отходы в целом по ЮР лицу, а не по каждому подразделению
541959	2 обособденный отходы подразделение сдавать тп	как сдавать 2-тп отходы в обособденных подразделениях
430978	административный дело обжаловать постановление правонарушение	как обжаловать постановление по делу об административном правонарушении
430978	административный обжаловать общий орган ответственность постановление привлечение суд юрисдикция	как обжаловать в суде общей юрисдикции постановление административного органа о привлечении к ответственности
542067	жбо относить	Что относят к ЖБО
542067	жбо код фкко	Коды ФККО для ЖБО
573333	2 отходы сдавать тп форма	как сдать форму 2-тп отходы?
573333	2 малый отходы предприятие тп	2-тп отходы малые предприятия
573333	2 образование отходы отходы рассчитать тп	как рассчитать образование отходов для 2-тп отходов
573333	2 доверенность образец отходы росприроднадзор сдача тп	образец доверенности в росприроднадзор по сдаче 2-тп-отходы
573333	2 бытовой год норма отходы офисный расход тп	2-тп отходы норма бытовых офисных расходов в год
436339	2022 водный квартал коэффициент налог первый	коэффициент по водному налогу на первый квартал 2022
436339	2022 2025 водный налог ставка	водный налог ставки 2022-2025
436339	водный край краснодарский налог ставка	ставка водного налога в краснодарском крае
436339	2022 водный и коэффициент налог ставка	ставка водного налога на 2022 и коэффициенты
436339	водный коэффициент налог население повышать ставка	водный налог ставки для населения повышающий коэффициент
436339	водный крым налог	водный налог в крыму
436339	без водный лицензия налог ставка	ставка водного налога без лицензии
436339	10 водный коэффициент налог	водный налог коэффициент 10
436339	водный ли меняться налог ставка	менялись ли ставка на водный налог
436339	2022 архангельский водный год налог область ставка	ставка водный налог на 2022 год Архангельская область
536830	гоу тип	типы гоу
536830	вид газоочистный установка	виды газоочистных установок
442101	контроль отчет производственный экологический	Отчет о производственном экологическом контроле
442101	отчет пэк	отчет пэк
479096	вид здание земельный использование использоваться не участок	здания не используются по виду использования земельного участка
479096	вид застройка землепользование и использование отличаться правило разрешать	вид разрешенного использования отличается от правил землепользования и застройки
479096	вид земельный использование не объект разрешать соответствовать участок	вид разрешенного использования земельного участка не соответствует объекту
542140	акт консервация	акт консервации
542140	консервация объект	консервация объекта
534521	и инвентаризация отход потребление производство	инвентаризация отходов производства и потребления
534521	1 инструкция класс обращение отход с	инструкции обращение с отходами 1 класса
483450	4 категория нвос	4 категория нвос
483450	категория нвос	категории нвос
483450	3 выброс документ какой категория нвос плата предприятие рассчитать расчет	по какому документу рассчитать выбросы для 3 категории предприятия при расчете платы за НВОС
483450	iv весь вносить категория который нвос объект относиться плата тот тот число	плату за НВОС нужно вносить по всем объектам, в том числе по тем, которые относятся к iv категории
491350	v класс лицензия отходы	лицензия v класс отходы
491350	5 класс лицензия отходы	отходы 5 класс лицензия
543522	2023 изменение октябрь экология	Изменения по экологии в октябре 2023
543522	2023 изменение июль	Изменения в июле 2023
543522	2023 новый норма экология	Новые нормы в экологии 2023
543522	2023 изменение	Изменение 2023
543522	2023 год законодательство изменение экологический	Изменения в экологическом законодательстве в 2023 году
516631	задание технический	техническое задание
516631	техзадание	техзадание
516631	тз	тз
517290	административный заявление куда обжалование ответственность подавать постановление привлечение	куда подавать заявление об обжаловании постановления о привлечении к административной ответственности
517290	административный арбитражный вид обжалование ответственность привлечение решение суд штраф	обжалование решения о привлечении к административной ответственности в виде штрафа в арбитражном суде
520020	ведение журнал и отходы потребление производство учет	журнал ведения учета отходов потребления и производства
520020	ведение журнал и отходы подразделение потребление производство учет	журнал ведения учета отходов потребления и производства в подразделениях
520020	вести отходы предприятие учет	Как вести учет отходов на предприятии
