TemplateID	LmQuery	Query
1812	алгоритм дезинфекция сизый	алгоритм дезинфекция сиз
1812	алгоритм дезинфекция костюм противочумный	алгоритм дезинфекции противочумного костюма
1812	алгоритм использовать костюм обработка	алгоритм по обработке использованных костюмов
1620	занос и мероприятие оои оперативный план предупреждение противоэпидемический распространение	оперативный план противоэпидемических мероприятий по предупреждению заноса и распространения оои
1620	инструкция оои	инструкция при оои
1620	больной выявление действие инфекция опасный особо порядок	порядок действий при выявлении больного особо опасной инфекцией
1620	алгоритм больной выявление действие медперсонал оои подозрительный	алгоритм действия медперсонала при выявлении больного подозрительного на оои
1620	больной выявление действие инфекция медицинский опасный организация особо порядок эпидемиолог	порядок действий эпидемиолога медицинской организации при выявлении больного особо опасной инфекцией
1620	20009 год методический оои указание	методические указания по оои от 20009 года
3942	и и инструкция одевать сизый снимать халат	инструкция как правильно одевать и снимать халат и сиз
3942	одевание правило сизый	сиз правила одевания
3942	и одевание сизый снятие	снятие и одевание сиз
3942	костюм одевать сизый	как одевать костюм сиз
3942	и кварц одевание памятка сизый снятие	"памятка одевание и снятие сиз ""кварц"""
11357	отделение педиатрический противошоковый укладка	противошоковая укладка для педиатрических отделений
11357	аптечка документ нормативный педиатрия противошоковый состав	противошоковая аптечка состав в педиатрии нормативный документ
11357	анафилактический аптечка лекарственный педиатрия препарат список шок	список лекарственных препаратов для аптечки анафилактический шок в педиатрии
16302	дежурант	дежурант
16302	дежурство ночной	ночные дежурства
30649	лечение медикаментозный	лечение медикаментозное
30649	консервативный лечение	лечение консервативное
35207	исследование лабораторный	исследования лабораторные
35207	диагностика	диагностика
43781	астма бронхиальный ребенок	Бронхиальная астма у детей
43781	ба клинический ребенок симптом	клинические симптомы БА у детей
43781	астма бронхиальный ребенок симптом	симптомы бронхиальной астмы у детей
43783	астма бронхиальный обострение терапия	терапия обострения бронхиальной астмы
43783	астма бронхиальный поликлиника	Бронхиальная астма в поликлинике
43786	астма бронхиальный виделекция	виделекция о бронхиальной астме
43786	астма бронхиальный видео ребенок	Бронхиальная астма у детей видео
44242	астма бронхиальный профессиональный	профессиональная бронхиальная астма
44242	астма бронхиальный лечение профессиональный	лечение профессиональной бронхиальной астмы
44242	ба профессиональный	Профессиональная БА
44243	астма бронхиальный классификация	классификации бронхиальной астмы
44243	ба классификация фенотип	классификация БА по фенотипам
44244	астма бронхиальный диагностика	диагностика бронхиальной астмы
44244	ба диагностика	диагностика БА
44327	заражение инфекция коронавирусный профилактика сизый	СИЗ для профилактики заражения коронавирусной инфекцией
44327	применять сизый	как применять СИЗ
44299	анафилаксия осмотр шаблон	анафилаксия шаблон осмотр
44299	анафилактический врач осмотр шаблон шок	шаблон осмотр врач анафилактический шок
44300	анафилаксия сопа	анафилаксия СОП
44300	анафилак сопа шок	соп по анафилак шоку
44301	анафилаксия медицинский помощь стандарт	стандарт медицинская помощь анафилаксия
44301	анафилактический медпомощь стандарт шок	стандарт медпомощь анафилактический шок
44301	анафилаксия помощь скорый стандарт	стандарт скорая помощь анафилаксия
44301	анафилаксия стандарт	стандарт анафилаксия
44303	анафилактический укладка шок	анафилактический шок укладка
44303	аптечка противошоковый	аптечка противошоковая
44303	противошоковый укладка	укладка противошоковая
44304	анафилактический ошибка совет шок	анафилактический шок ошибки советы
