TemplateID	LmQuery	Query
1265	план приказ утверждение учебный фоп	приказ об утверждении учебного плана по фоп
1265	план приказ утверждение учебный	приказ на утверждение учебного плана
599	весь директор приказ школа	все приказы директора школы
599	обязательный приказ школа	обязательные приказы в школе
599	2024 приказ школа	приказы по школе 2024
599	директор приказ циклограмма школа	циклограмма приказов директора школы
599	перечень приказ школа	перечень приказов по школе
600	весь доу приказ форма	все приказы доу (форма)
600	2021 детский приказ сад	приказы в 2021 в детском саду
600	доу перечень приказ	перечень приказов по доу
600	2021 доу приказ	приказы в доу на 2021
600	доу приказ	приказы для доу
600	заведующий приказ циклограмма	циклограмма приказов заведующего
600	доу приказ циклограмма	циклограмма приказов доу
600	заведующий приказ	приказы заведующего
1264	детский правило прием приказ сад утверждение	приказ об утверждении правил приема в детских сад
1264	порядок прием приказ утверждение	приказ об утверждении порядка приема
1264	доу порядок прием приказ утверждение	приказ об утверждении порядка приема в ДОУ
1264	порядок прием приказ утверждение школа	приказ об утверждении порядка приема в школу
1267	доу лето приказ работа	приказ о работе ДОУ летом
1267	дошкольник летний переход приказ режим	приказ о переходе на летний режим дошкольников
1267	детский лето приказ работа сад	приказ о работе детского сада летом
1257	возобновление детский приказ работа сад	приказ о возобновлении работы детского сада
1257	открытие приказ садик	приказ об открытии садика
1257	доу открытие приказ	приказ об открытии ДОУ
1768	2023 год рефинансирование ставка	ставки рефинансирования в 2023 году
1768	2023 ставка цб	ставка цб 2023
1768	значение и ключевой рефинансирование ставка ставка	значение ставки рефинансирования и ключевой ставки
1768	ключевой справочник ставка	справочник ключевая ставка
1768	2019 г рефинансирование ставка	ставка рефинансирования 2019 г
2462	дистанционный перевод приказ работник	приказ о переводе работника на дистанционную
2462	дистанционный перевести работа	как перевести на дистанционную работу
2462	дистанционный приказ работа	приказ дистанционная работа
2987	госслужащий положение премирование	положение о премировании госслужащих
2987	и материальный положение помощь премирование	положение о премировании и материальной помощи
2987	выплата порядок стимулировать	стимулирующие выплаты порядок
2987	детский положение премирование работник сад	положение о премировании работников детского сада
2987	2023 положение премирование	положение о премировании 2023
1300	доу коронавирус мероприятие план приказ утверждение	приказ об утверждении плана мероприятий по коронавирусу в доу
1300	детский коронавирус мероприятие план приказ сад утверждение	приказ об утверждении плана мероприятий по коронавирусу в детском саду
2988	выявлять журнал заболевание обучающийся случай	журнал выявленных случаев заболевания обучающихся
2988	журнал заболевание инфекционный ребенок учет	журнал учета инфекционных заболеваний детей
2465	ооп соо утверждать	как утвердить ооп соо
2465	ооо ооп приказ утверждение фоп	приказ об утверждении ооп ооо по фоп
