TemplateID	LmQuery	Query
37399	безопасность доу неделя пожарный	неделя пожарной безопасности в доу
37399	алгоритм действие ракетный удар	алгоритм действий при ракетном ударе
37399	детский меню сад	меню детского сада
37399	код справочник	справочник кодов
37399	антитеррор журнал	журнал антитеррор
37399	доу и коррупция мера отчет предупреждение принимать противодействие руководитель	отчет руководителя доу о принимаемых мерах по предупреждению и противодействии коррупции
37399	выходной день платный услуга	платные услуги в выходной день
37399	воспитатель назначение приказ старший	приказ о назначение старшего воспитателя
37399	изменение охрана программа развитие система труд	изменения в программе развития системы охраны труда
37399	доклад заведующий публичный	публичный доклад заведующего
37399	питание	питание
37399	взыскание приказ	приказ о взыскании
37399	доу контроль производственный	производственный контроль доу
37399	акт несчастный случай	акт о несчастных случаях
37399	код окз	код по окз
37399	десятидневный доу меню	десятидневное меню доу
405968	ммм	ммм
426028	аттестация оформлять педагог стенд	как оформить стенд по аттестации педагогов
426028	аттестация материал стенд	материал по аттестации для стендов
426028	аттестация стенд шаблон	шаблоны для стенда по аттестации
418638	карта картотека контроль	карта контроля картотек
418638	воспитатель контроль оперативный	оперативный контроль воспитателя
418638	весь воспитатель карта контроль старший	все карты контроля для старшего воспитателя
418638	анализ всоко карта	карты анализа всоко
418638	карта	карты
563786	хлеб	хлеб
563786	день хлеб	день хлеба
563786	день ко мероприятие хлеб	мероприятия ко дню хлеба
423635	контроль фронтальный	фронтальный контроль
423635	доу контроль фронтальный	фронтальный контроль в доу
421317	заведующий зам увр циклограмма	циклограмма зам.заведующего по увр
421317	воспитатель год дело старший учебный циклограмма	циклограмма дел старшего воспитателя на учебный год
421317	годовой циклограмма	годовая циклограмма
421317	воспитатель декабрь дело ноябрь октябрь сентябрь старший циклограмма	циклограмма дел старшего воспитателя сентябрь, октябрь, ноябрь, декабрь
421317	дело циклограмма	циклограмма дел
421317	2023 воспитатель год дело старший циклограмма	циклограммы дел старшего воспитателя на 2023 год
421317	2022 2023 год учебный циклограмма	циклограмма на 2022-2023 учебный год
421317	вмр дело заведовать заместитель циклограмма	циклограмма дел заместителя заведующего по вмр
423636	воспитание контроль нравственный патриотический приказ тематический	приказ по тематическому контролю по нравственно патриотическому воспитанию
423636	задание контроль план	план-задание контроль
423618	е контроль тематический	тематический контроль е
423618	контроль тематический	тематический контроль
423618	доу контроль тематический	тематический контроль в доу
