bot	sys	pubid	text	templateId	templateText	timestamp	etalon_text
kuber	8.0	68	Основание для проведения медосмотра работникам	461485	По Порядку № 29н работников, которые работают на компьютерах, нужно направить на медосмотр, только если они выполняют работы, которые перечислены в разделе VI приложения к Порядку № 29н. Вот ссылка по вашему вопросу https://vip.1otruda.ru/#/document/12/428420/actual/	2023-12-26T09:48:14.656	медосмотр работник офис
kuber	8.0	67	Добрый день. Не нашла карты оценки рисков для торгового представителя	558461	Используйте подборку карт оценки профрисков матричным методом, которые оформите по результатам процедуры. Далее читайте https://1otruda.ru/#/document/16/121204/actual/	2023-12-26T10:23:15.544	карта риск
kuber	8.0	68	добрый день! подскажите по каким пунктам проходит медосмотр Слесарь по сборке металлоконструкций	461485	По Порядку № 29н работников, которые работают на компьютерах, нужно направить на медосмотр, только если они выполняют работы, которые перечислены в разделе VI приложения к Порядку № 29н. Вот ссылка по вашему вопросу https://vip.1otruda.ru/#/document/12/428420/actual/	2023-12-26T12:18:13.692	работа с компьютер много 50 проходить медосмотр
kuber	8.0	67	Изменения по охране труда 2023 г.	455432	Собрали изменения по охране труда, пожарной безопасности, промбезопасности и экологии в 2023 году в одной таблице. Смотрите подробнее https://1otruda.ru/#/document/16/118479/actual/	2023-12-26T12:46:46.445	изменение охрана труд 2023 год
kuber	8.0	68	Какие документы по охране труда обязательные, а какие рекомендательные для ИП  и для ООО?	549486	Проверьте по чек-листу, все ли документы по охране труда есть в вашей организации. Подробнее в материале https://vip.1otruda.ru/#/document/16/139396/actual/	2023-12-26T12:47:04.004	какой документ должный быть охрана труд 2023 год
kuber	8.0	67	Добрый день! Субъекты малого предпринимательства подают отчетность 7-Т в 2024г за 2023г?	522383	Форма отчета по проведению спецоценки регламентированаприказом Минтруда от 24.01.2014 № 33н. Далее см. https://1otruda.ru/#/document/16/133663/actual/	2023-12-26T11:23:19.742	отчетность соут
kuber	8.0	68	Общая характеристики условий труда на рабочем месте	522404	Условия труда по степени вредности и опасности подразделяют на четыре класса: оптимальный, допустимый, вредный и опасный. Подробнее смотрите https://vip.1otruda.ru/#/document/86/584289/actual/	2023-12-26T11:26:44.070	класс условие труд рабочий место
kuber	8.0	67	Добрый день! Какие требования к сигнальным жилетам. И какого цвета они должны быть	553073	Выдавайте водителю один сигнальный жилет в год независимо от того, по каким нормам выдаете – по Типовым отраслевым нормам или Единым типовым нормам. Вот ссылка по вашему вопросу https://1otruda.ru/#/document/12/484403/actual/	2023-12-26T11:34:30.742	норма выдача жилет сигнальный
kuber	8.0	68	Приказ о назначении лица, ответственного за пожарную безопасность	527390	Скачайте шаблон приказа о назначении ответственного за пожарную безопасность. Смотрите подробнее https://vip.1otruda.ru/#/document/118/94989/actual/	2023-12-26T11:40:07.980	приказ назначение ответственный пожарный безопасность
kuber	8.0	68	последние изменения по охране труда за 2023год	455432	Собрали изменения по охране труда, пожарной безопасности, промбезопасности и экологии в 2023 году в одной таблице. Далее читайте https://vip.1otruda.ru/#/document/16/118479/actual/	2023-12-26T11:48:26.378	изменение охрана труд 2023 год
