bot	sys	pubid	text	templateId	templateText	timestamp	etalon_text
kuber	3.0	17	ндс при реорганизации путем выделения	496883	Чтобы реорганизовать акционерное общество в форме выделения в ООО, единственному акционеру нужно принять решение о реорганизации. Смотрите подробнее https://vip.1jur.ru/#/document/118/113537/actual/	2023-12-26T10:08:16.627	выделение ооо ао с один акционер
kuber	3.0	17	подскажите есть ли в системе образец медиативного соглашения (до судебного)	436627	Медиативное соглашение оформляют после завершения процедуры медиации. Вот ссылка по вашему вопросу https://vip.1jur.ru/#/document/118/102394/actual/	2023-12-26T10:52:35.128	медиативный соглашение
kuber	3.0	17	спасибо . а есть ли соглашение об отказе от исков, претензий, требований ?	485660	Отказ от иска означает полный или частичный отказ истца от защиты своего права в судебном порядке. Вот ссылка по вашему вопросу https://vip.1jur.ru/#/document/16/50437/actual/	2023-12-26T10:53:48.602	отказ иск вступление сила
kuber	3.0	223	если у юр лица печать, то при оформлении ЭЦП, необходимо ли оформлять электронную печать	1606	Печать станет обязательной, если организация установит свою форму акта сверки и предусмотрит в ней печать. Подробнее см. https://plus.1jur.ru/#/document/86/243588/actual/	2023-12-26T11:58:47.868	печать акт сверка расчет
kuber	3.0	223	Здравствуйте, рукописная доверенность между физ лицами  действительна при предьявлении в страховую?	516574	Доверенность необходимо оформить, если нужно уполномочить представителя вести дела вместо гражданина. Смотрите подробнее https://plus.1jur.ru/#/document/118/119387/actual/	2023-12-26T14:23:34.320	форма рукописный доверенность физический лицо
kuber	3.0	17	Здравствуйте! Как получить гражданство РФ, гражданину Молдовы	577537	Граждане Украины, Молдовы, Беларуси и Казахстана могут получить гражданство России в упрощенном порядке в гуманитарных целях. Далее читайте https://vip.1jur.ru/#/document/16/143768/actual/	2023-12-26T15:02:49.331	получать гражданство россия гражданин молдова
kuber	3.0	223	пришлите пожалуйста изменения касаемые обработки персональных данных	574646	1 марта 2023 года вступили в силу новые требования к операторам персональных данных (Федеральный закон от 14.07.2022 № 266-ФЗ). Ссылка по вашему вопросу https://plus.1jur.ru/#/document/86/673129/actual/	2023-12-26T16:18:19.103	чем изменение обработка персональный данные
kuber	3.0	11	где можно почитать про федерацию как НКО?	555734	Чтобы зарегистрировать НКО, деятельность которых регулирует Закон об НКО, нужно подавать документы в территориальное отделение Минюста. Ссылка по вашему вопросу https://www.1jur.ru/#/document/12/486861/actual/	2023-12-27T05:32:03.605	регистрация нко общественный организация пример
kuber	3.0	17	Здравствуйте! В договоре купли продажи зем.участка обязательно указывать его кадастровую стоимость?	10578	Если один гражданин передает землю в собственность другому, заключите договор купли-продажи земельного участка в письменной форме. Вот ссылка по вашему вопросу https://vip.1jur.ru/#/document/118/60655/actual/	2023-12-27T06:15:58.707	договор купля продажа гора и земельный участок
kuber	3.0	17	сроки обработки же сейчас обзательные стали персональных данных? где это прописано?	547726	Оператор может обрабатывать персональные данные, пока действует согласие. Смотрите подробнее https://vip.1jur.ru/#/document/86/307487/actual/	2023-12-27T06:38:32.940	срок обработка персональный данные
