TemplateID	LmQuery	Query
1812	алгоритм дезинфекция коронавирус обучать	обучающий алгоритм дезинфекции при коронавирусе
1812	алгоритм дезинфекция костюм	алгоритм дезинфекции костюма
1812	алгоритм дезинфекция инфекционный костюм	алгоритм дезинфекция инфекционных костюмов
1812	алгоритм дезинфекция костюм многоразовый противочумный	алгоритм по дезинфекции многоразового противочумного костюма
1620	личный оои проведение профилактика экстренный	проведение экстренной личной профилактики оои
1620	медицинский мероприятие оои очаг памятка первичный проведение работник	памятка медицинскому работнику при проведении первичных мероприятий в очаге оои
1620	алгоритм врач главный действие оои	алгоритм действия главного врача при оои
1620	алгоритм действие медработник оои	алгоритм действия медработника при оои
1620	алгоритм действие оои	алгоритм действий при оои
1620	алгоритм костюм надевание оои	алгоритм надевания костюма при оои
1620	алгоритм оои	алгоритм по оои
1620	алгоритм выявление действие оои случай	алгоритм действий при выявлении случая оои
1620	врач действие оои очаг	действия врача в очаге оои
1620	алгоритм действие инфекция опасный особо период	алгоритм действий в период особо опасных инфекций
1620	алгоритм действие инфекция опасный особо	алгоритм действия при особо опасных инфекциях
1620	алгоритм инфекция опасный особо	особо опасные инфекции алгоритмы
1620	алгоритм выписка дезинфекция инфекция опасный особо пациент после проведение с	алгоритм проведения дезинфекции после выписки пациента с особо опасной инфекцией
1620	действие инфекция опасный особо подозрение порядок	порядок действий при подозрении на особо опасную инфекцию
1620	инфекция опасный оперативный особо план	оперативные план по особо опасным инфекциям
1620	алгоритм больной выявление действие заболевание инфекционный с	алгоритм действия, при выявлении больного с инфекционным заболеванием
1620	алгоритм больной действие обнаружение оои	алгоритм действий при обнаружении больного оои
1620	оои план	план по оои
1620	больной выявление локализация оои оперативный очаг план	Оперативный план по локализации очага при выявлении больного ООИ
1620	больной выявление оои оперативный план	Оперативный план при выявлении больного ООИ
1620	больной выявление локализация оои очаг план	План по локализации очага при выявлении больного ООИ
1620	больной выявление оои план	план при выявлении больного ООИ
1620	инфекция мероприятие образец особоопаный план противоэпидемический	образец плана противоэпидемических мероприятий при особоопаных инфекциях
1620	больной выявление мероприятие оперативный план поликлиника противоэпидемический с случай чума	оперативный план противоэпидемических мероприятий на случай выявления больного с чумой в поликлинике
1620	а инфекция мероприятие образец опасный оперативный особо план поликлиника противоэпидемический	образец оперативного плана противоэпидемических мероприятий при особо опасных инфекциях а поликлинике
1620	а инфекция мероприятие образец опасный особо план поликлиника противоэпидемический	образец плана противоэпидемических мероприятий при особо опасных инфекциях а поликлинике
3942	алгоритм защитный и костюм одевание после работа самостоятельный сизый	алгоритм самостоятельного одевание защитного костюма и сиз после работы
3942	2 3 защита и класс надевание порядок сизый	порядок надевания сиз 2 и 3 классов защиты:
3942	инструкция комбинезон надевание сизый	сиз инструкция по надеванию комбинезонов
3942	надевание правило сизый	правила надевания сиз
3942	видео надевание правило сизый	правила надевания сиз видео
3942	ковид одевание правило сизый	правила одевания сиз при ковид
3942	одевание порядок сгозы сизый	сиз сгоз порядок одевания
3942	использовать надевать сизый сизый сизый снимать	как использовать сиз, как надевать сиз, как снимать сиз
3942	и надевать сизый снимать	как надевать и снимать сиз
3942	и и надевать сизый снимать халат	как правильно надевать и снимать халат и сиз
3942	и одевать сизый снимать	снимать и одевать сиз
3942	инструкция одевание сизый	инструкция одевания сиз
3942	костюм надевать сизый	как надевать костюм сиз
3942	надевание сизый	надевание сиз
3942	надевание порядок сизый	порядок надевания сиз
3942	одевание порядок сизый	порядок одевания сиз
3942	одевание последовательность сизый	последовательность одевания сиз
3942	инструкция надевание сизый	сиз инструкция по надеванию
3942	и кварц одевание сизый снятие	"одевание и снятие сиз ""кварц"""
3942	комбинезон одевание сизый снятие	одевание снятие комбинезона сиз
3942	одевание сизый снятие	одевание снятие сиз
3942	безопасный и надевание порядок сизый снятие	порядок надевания и безопасного снятия сиз
3942	и надевание сизый снятие техника	техника снятия и надевания сиз
3942	видео и надевание сизый снятие техника	техника снятия и надевания сиз видео
11357	антишок педиатрия укладка	укладка антишок для педиатрии
11357	детский кабинет поликлиника прививочный противошоковый состав укладка	состав противошоковой укладки для прививочных кабинетов детских поликлиник
11357	детский кабинет поликлиника прививочный противошоковый укладка	противошоковой укладки для прививочных кабинетов детских поликлиник
11357	больница детский противошоковый укладка	противошоковая укладка в детской больнице
11357	анафилактический педиатрия укладка шок	укладка анафилактический шок в педиатрии
11357	аптечка педиатрия противошоковый	противошоковая аптечка в педиатрии
11357	аптечка педиатрический противошоковый	противошоковая аптечка педиатрическая
11357	аптечка педиатрия противошоковый состав	противошоковая аптечка состав в педиатрии
11357	анафилактический аптечка детский шок	аптечка анафилактический шок детская
11357	анафилактический аптечка педиатрия шок	аптечка анафилактический шок педиатрия
11357	анафилактический аптечка детский отделение шок	аптечка анафилактический шок в детском отделении
11357	анаф аптечка педиатрсостав	педиатрсостав анаф аптечки
11357	анафилактический аптечка детский консультация состав шок	состав аптечки при анафилактическом шоке в детской консультации
16302	дежурство	дежурство
16302	дежурство ночь	дежурство по ночам
30649	лекарственный терапия	терапия лекарственная
30649	консервативный терапия	терапия консервативная
35207	диагностика лабораторный	диагностика лабораторная
35207	исследование лабораторный метод	методы исследования лабораторные
43781	ба ребенок симптом	симптомы БА у детей
43781	астма бронхиальный клинический ребенок рекомендация	Бронхиальная астма у детей клиническая рекомендация
43781	астма бронхиальный клинический ребенок симптом	клинические симптомы бронхиальной астмы у детей
43783	амбулаторный астма бронхиальный лечение	амбулаторное лечение при бронхиальной астме
43783	астма бронхиальный лечение обострение	лечение бронхиальной астмы в обострение
43786	астма бронхиальный видеолекция	видеолекция бронхиальная астма
43786	астма бронхиальный видео	бронхиальная астма видео
44243	астма бронхиальный вид	виды бронхиальной астмы
44243	ба классификация	Классификация БА
44243	ба вид	виды БА
44244	астма бронхиальный обследование	Обследование бронхиальной астмы
44244	астма бронхиальный схема	схема бронхиальной астмы
44244	алгоритм астма бронхиальный	алгоритм бронхиальной астмы
44327	ковид профилактика сизый	профилактика ковида СИЗ
44327	инфекция коронавирусный профилактика сизый	СИЗ для профилактики коронавирусной инфекции
44299	анафилактический шаблон шок	шаблон анафилактический шок
44299	анафилаксия шаблон	шаблон анафилаксия
44299	анафилактический врач осмотр шок	анафилактический шок осмотр врач
44300	анафилак сопа	соп по анафилак
44300	анафилактический сопа шок	СОПы при анафилактическом шоке
44301	анафилаксия медпомощь стандарт	стандарт медпомощь анафилаксия
44301	анафилактический стандарт шок	анафилактический шок стандарт
44301	анафилактический медицинский помощь стандарт шок	стандарт медицинская помощь анафилактический шок
44301	анафилактический помощь скорый стандарт шок	анафилактический шок стандарт скорая помощь
44303	анафилактический аптечка шок	аптечка анафилактический шок
44303	анафилактический медицинский помощь укладка шок	укладка медицинская помощь анафилактический шок
44303	анафилактический медпомощь укладка шок	укладка медпомощь анафилактический шок
44303	анафилактический состав укладка шок	состав укладка анафилактический шок
44878	весь кровообращение материал мозговой нарушение острый	мозгового кровообращения нарушение острое все материалы
44878	все кровообращение материал мозговой нарушение острый	кровообращение острое нарушение мозгового материалы все
398291	диабет инсулинзависимое качество критерий медицинский помощь	критерии качества медицинской помощи при инсулинзависимом диабете
398291	диабет инсулиннезависимый качество критерий медицинский помощь	критерии качества медицинской помощи при инсулиннезависимом диабете
398291	диабет качество критерий медицинский помощь сахарный	критерии качества медицинской помощи при сахарном диабете
398291	диабет качество критерий	критерии качества при диабете
398292	больной диабет медицинский помощь сахарный стандарт	стандарты медицинской помощи больным сахарным диабетом
398292	диабет медицинский помощь сахарный стандарт	стандарт медицинской помощи сахарный диабет
398292	диабет инсулинзависисмыя стандарт	инсулинзависисмый диабет стандарт
398296	диабет инсулинзависимый поражение почка	инсулинзависимый диабет поражение почек
398296	1 диабет поражение почка с сахарный тип	сахарный диабет 1 типа с поражением почек
398296	диабет поражение почка сахарный	поражение почек при сахарном диабете
430701	медицинский оказание онмк помощь стандарт	стандарты оказания медицинской помощи ОНМК
430701	медицинский онмк помощь стандарт	медицинской помощи стандарты ОНМК
430701	кровообращение медицинский мозговой нарушение оказание острый помощь стандарт	стандарты оказания медицинской помощи острое нарушение мозгового кровообращения
430701	кровобращение мозговой острый помощь стандарт	стандарты помощи острое мозговое кровобращение
434594	бронхит лечение протокол хронический	протокол лечения хронического бронхита
434594	бронхит ведение пациент протокол с	протокол ведения пациента с бронхитом
434594	бронхит период протокол ребенок эпидемия	протокол бронхит в период эпидемии дети
434594	бронхит и ковид период протокол эпидемия	протокол бронхит и ковид в период эпидемии
440684	аппендицит диагностика острый	диагностика острого аппендицита
440684	аппендицит взрослый диагностика острый	острый аппендицит у взрослых диагностика
446387	лечение псориаз стандарт	лечение псориаза стандарты
446387	псориаз стандарт терапия	терапия псориаза стандарт
446387	артрит псориатический стандарт	стандарт псориатический артрит
424190	лимфом рекомендация ходжкин	рекомендация по лимфоме ходжкина
424190	лимфом ребенок ходжкин	лимфома ходжкина у детей
424190	лечение лимфом ходжкин	лечение лимфомы ходжкина
424190	лимфом симптом ходжкин	лимфома ходжкина симптомы
44293	анафилаксия сыворотка	сыворотка анафилаксия
44293	анафилактический сыворотка шок	сыворотка шок анафилактический
44293	анафилактический вакцина шок	вакцина анафилактический шок
44293	аллергия вакцинация	вакцинация аллергия
44293	анафилаксия вакцинация	вакцинация анафилаксия
44293	анафилактический вакцинация шок	вакцинация анафилактический шок
44293	анафилактический вакцинация после шок	анафилактический шок после вакцинации
44293	анафилаксия вакцина	вакцина анафилаксия
410608	качество критерий холецистит	критерии качества при холецистите
410608	калькулезный качество критерий медицинский помощь холецистит	критерии качества медицинской помощи при калькулезном холецистите
410608	качество критерий медицинский оценка помощь холецистит	критерии оценки качества медицинской помощи при холецистите
446389	документ перечень полный псориаз	полный перечень документов по псориазу
446389	весь документ псориаз	псориаз все документы
450203	ведение диабет лист пациент сахарный чек	Чек-листы по ведению пациента при сахарном диабете
450203	гестационный диабет лист сахарный чек	гестационный сахарный диабет чек-лист
456501	онкология	онкология
456501	врач онколог	врач-онколог
456501	онколог страница	страница онколога
460320	колит осмотр шаблон	колит шаблон осмотра
460320	гастродуоденит осмотр шаблон	гастродуоденит шаблоны осмотра
460320	гастроэнтероколит шаблон	гастроэнтероколит шаблон
460521	инфаркт стандарт	стандарты по инфарктам
460521	инфаркт медицинский оказание помощь стандарт	стандарты оказания медицинской помощи при инфарктах
460521	инфаркт медицинский острый помощь скорый стандарт	стандарт скорой медицинской помощи при остром инфаркте
460521	инфаркт миокард первичный стандарт	стандарт первичной инфаркт миокарда
456502	радиотерапевт страница	страница радиотерапевта
456502	врач радиотерапевт	врач-радиотерапевт
455623	атопический дерматит протокол	атопический дерматит протоколы
455623	ведение дерматит пациент протокол с	протокол по ведению пациента с дерматитом
455623	взрослый дерматит лечение протокол с	протокол лечения взрослого с дерматитом
443729	взомт качество критерий медпомощь оценка	Критерии оценки качества медпомощи при ВЗОМТ
443729	качество критерий медпомощь оценка эндометрит	Критерии оценки качества медпомощи при эндометрите
443729	качество критерий медпомощь оценка сальпингит	Критерии оценки качества медпомощи при сальпингите
443729	взомт качество критерий	Критерии качества при ВЗОМТ
443729	качество критерий эндометрит	Критерии качества при эндометрите
443729	качество критерий сальпингоофорит	Критерии качества при сальпингоофорите
443729	качество критерий сальпингит	Критерии качества при сальпингите
443729	воспалительный женщина заболевание качество критерий малый орган таз	Критерии качества при воспалительных заболеваниях органов малого таза у женщин
443729	воспалительный заболевание качество критерий малый медпомощь орган оценка таз	Критерии оценки качества медпомощи при воспалительных заболеваниях органов малого таза
443729	воспалительный женщина заболевание качество критерий малый медпомощь орган оценка таз	Критерии оценки качества медпомощи при воспалительных заболеваниях органов малого таза у женщин
440849	качество критерий медпомощь оценка панкреатит хронический	критерии оценки качества медпомощи хронический панкреатит
440849	качество критерий оценка панкреатит хронический	критерии оценки качества хронический панкреатит
440849	качество критерий медпомощь оценка панкреатит	критерии оценки качества медпомощи панкреатит
440849	качество критерий острый панкреатит	критерии качества острый панкреатит
440849	качество критерий оценка панкреатит	критерии оценки качества панкреатит
438353	аллергический крапивница лечение	лечение аллергической крапивницы
438353	крапивница лечение	лечение крапивницы
410612	лечение острый протокол холецистит	протокол лечения острого холецистита
410612	ведение острый пациент протокол холецистит	протокол ведения пациента острый холецистит
