TemplateID	LmQuery	Query
4366	ли метод нмцк применяться расчет тарифный	нужен ли расчет нмцк, если применяется тарифный метод
4366	единица метод обосновывать продукция тарифный цена цена	как обосновать цену по цене единицы продукции по тарифному методу
4366	0 15 2016 5 5467 балл использовать качество качество контракт контракт метод метод нмцк обоснование обоснование сентябрь средний тарифный тарифный тема цена цена	тарифный метод в качестве обоснования цены контракта 15 сентября 2016 5467 средний балл: 0 из 5 темы: нмцк вопрос можно ли использовать тарифный метод в качестве обоснования цены контракта на
4366	единица и метод начальный нмцк продукция рассчитать тарифный цена	как рассчитать нмцк и начальную цену единицы продукции тарифным методом
10930	дистанционный заявление работа	заявление на дистанционную работу
10930	перевод работник согласие	согласие работника на перевод
10930	заявление перевод работа удаленный	перевод на удаленную работу заявление
11561	223 автомобиль закупка и марка модель писать фз	можно ли писать марку и модель автомобиля при закупке по 223-фз
11561	223 автомобиль закупка и марка модель указывать фз	можно ли указать марку и модель автомобиля при закупке по 223-фз
11561	223 автомобиль закупка знак с товарный указание фз	закупка автомобиля с указанием товарного знака по 223 фз
11563	223 автомобиль закупка иностранный	закупка иностранных автомобилей 223
11563	223 автомобиль закупка и пп фз	закупка автомобиля по 223-фз и -пп
11553	223 автомобиль закупка запасной проводить фз часть	как провести закупку запасных частей на автомобиль по фз 223
11553	223 автомобиль закупка фз	закупка автомобиля по 223 фз
11553	автомобиль закупать легковой	как закупить легковой автомобиль
11553	223 автомобиль закупка конкурс открытый фз	закупка автомобиля по 223 фз открытым конкурсом
11553	223 автомобиль бывший закупка употребление фз	закупка автомобиля по 223-фз бывшего в употреблении
11556	223 автомобиль закупка какой конкурс патриот проводить фз	какой конкурс нужно проводить по закупке автомобиля патриот по 223-фз
11556	223 автомобиль закупка конкурс открытый фз	закупка автомобиля по 223 фз открытым конкурсом
11579	223 автомобиль закупка ограничение фз	ограничения при закупке автомобиля по 223-фз
11579	223 автомобиль закупка фз	223-фз закупка автомобиля
11579	223 автомобиль закупка какой конкурс патриот проводить фз	какой конкурс нужно проводить по закупке автомобиля патриот по 223-фз
11579	223 автомобиль закупка запасной проводить фз часть	как провести закупку запасных частей на автомобиль по фз 223
11580	223 автомобиль бюджетный закупка учреждение фз	закупка автомобиля для бюджетного учреждения по 223 фз
11580	223 автомобиль бюджетный закон закупка учреждение фз	закупка автомобиля для бюджетного учреждения по Закону 223 фз
12121	лекарство нмцк обоснование шаблон	шаблон обоснования нмцк на лекарства
12121	жнвлп нмцк обоснование	обоснование нмцк по жнвлп
12369	договор коммунальный пролонгировать услуга	можно ли пролонгировать договоры на коммунальные услуги
12369	44 водоснабжение договор коммунальный пролонгировать теплоснабжение услуга фз электроэнергия	можно ли пролонгировать договор на коммунальные услуги (теплоснабжение, водоснабжение, электроэнергию) по 44-фз?
12369	223 быть договор коммунальный пролонгировать услуга фз	может ли быть пролонгирован договор на коммунальные услуги по 223-фз
12468	договор запрос котировка подписание срок эл	сроки подписания договора по эл запросу котировок
12468	223 запрос котировка оплата срок фз	срок оплаты по запросу котировок по 223-фз
12468	223 внесение документация закупочный запрос изменение котировка срок фз	срок внесения изменений в закупочную документацию по запросу котировок по 223-фз
12468	223 запрос котировка продление срок	223 сроки продления запроса котировок
12468	223 запрос котировка проведение срок фз электронный	сроки проведения электронного запроса котировок по 223-фз
12468	223 заявка подача срок	срок подачи заявки 223
12468	223 договор запрос котировка размещение срок	запрос котировок срок размещение договора 223
12468	223 заявка мсп подача срок	срок подачи заявок для мсп 223
12468	договор запрос котировка размещение срок	запрос котировок срок размещение договора
21756	вноситься договор единственный закупка какой отчет поставщик с	в какой отчет по договорам вноситься закупка с единственным поставщиком
21756	223 договор исполнение отчетность фз	отчетность по исполнению договоров по 223-фз
21756	договор исполнение отчет теплоснабжение	отчет по исполнению договоров по теплоснабжению
12789	котировка приказ проведение	приказ о проведении котировки
12789	запрос котировка приказ проведение электронный	приказ по проведению электронного запроса котировок
12789	запрос котировка приказ	приказы о запросе котировки
12789	заказчик запрос котировка утверждать	нужно ли утверждать заказчику запрос котировок
13177	аренда договор оборудование	договор аренды на оборудование
13177	аренда движимый договор заключение имущество	заключение договора аренды движимого имущества
13177	44 аренда договор техника фз	договор аренды техники по 44-фз
