TemplateID	LmQuery	Query
35493	гочс назначение ответственный приказ	приказ о назначении ответственного за гочс
35493	назначение ответственный приказ чс	приказ о назначению ответственного за чс
35493	гражданский назначение оборона ответственный приказ	приказ назначении ответственного по гражданской обороне
36646	гражданский журнал и оборона чрезвычайный	журнал по гражданской обороне и чрезвычайным ситуациям
36646	го журнал и инструктаж чс	журнал инструктажа по го и чс
42980	1 гр обучение программа электробезопасность	программа обучения по электробезопасности 1 гр
42980	1 c билет группа инструктаж неэлектротехнический персонал проведение программа экзаменационный	программа проведения инструктажа неэлектротехнического персонала на 1 группу c экзаменационными билетами
42980	1 группа инструктаж присвоение программа электробезопасность	программа инструктажа по присвоению 1 группы по электробезопасности
42980	1 группа обучение программа электробезопасность	программа обучения 1 группа по электробезопасности
42980	i группа инструктаж программа электробезопасность	программу инструктажа на i группу по электробезопасности
42980	неэлектротехнический обучение персонал программа	программа обучения для неэлектротехнического персонала
42980	группы1 неэлектрический персонал присвоение программа электробезопасность	программа на присвоение группы1 по электробезопасности неэлектрическому персоналу
42980	группа обучение охрана первый присвоение программа труд электробезопасность	программ обучения по охране труда по присвоению первой группы по электробезопасности
42980	1 группа обучение электробезопасность	обучение 1 группе электробезопасности
44316	высота журнал осмотр сизый	журнал осмотра сиз от высоты
44316	782н высота д допуск журнал журнал и наряд осмотр периодический приказ работа работа сизый т учет	журналы по периодическому осмотру сиз, журналы по учету работ по наряду-допуску и т.д.) при работе на высоте по приказу № 782н
45177	лицо назначение ответственный приказ проведение пэк	приказ о назначении лица, ответственного за проведение ПЭК
45177	и контроль лицо назначение организация ответственный правило проведение производственный санитарный соблюдение	о назначении лиц, ответственных за организацию и проведение производственного контроля соблюдения санитарных правил
397691	положение профессиональный риск система	положение о системе профессиональных рисков
397691	положение профессиональный риск система управление	положение система управления профессиональными рисками
398174	грузозахватный журнал и и осмотр периодический приспособление съемный тара учет	журнал учета и периодических осмотров съемных грузозахватных приспособлений и тары
398174	и осмотр сгзп тара	осмотр сгзп и тары
422617	вредный выдаваться действие допуск или какой место наряд опасный срок фактор	на какой срок выдается наряд-допуск в местах действия опасных или вредных факторов
422617	выдача наряд срок электробезопасность	срок выдачи наряда по электробезопасности
422617	выдаваться допуск какой наряд срок	на какой срок выдается наряд-допуск
422617	выдаваться допуск наряд сколько	на сколько выдается наряд допуск
422617	наряд срок	наряд срок
422617	5 более действие день допуск наряд не срок	срок действия наряда-допуска не более 5 дней
33646	медицинский осмотр список	список на медицинский осмотр
33646	01 2021 28 29н контингент медосмотр основание приказ форма	формы контингента по медосмотрам на основании приказа № 29н от 28.01.2021
576996	верно гидравлический испытание какой перечисленный проведение сосуд требование указывать	Какое из перечисленных требований при проведении гидравлического испытания сосудов указано верно?
581722	опасность опо признак	признаки опасности опо
581722	опасность признак	признак опасности
577013	быть вырезать должно и исследование каждый какой количество контроль контрольный металлографический низколегированный образец сварной сварной соединение соединение становиться стыковой углеродистый	Какое количество образцов должно быть вырезано из каждого контрольного стыкового сварного соединения для металлографических исследований при контроле сварных соединений из углеродистой и низколегированной стали
