TemplateID	LmQuery	Query
367	отчет самооследование сдача срок	срок сдачи отчета о самооследовании
367	когда пуликовать самооследование	когда пуликовать самооследование
367	самооследование сдача срок	срок сдачи самооследования
403	педсовет положение тематический	положение о тематическом педсовете
403	педагогический положение совет	положение о педагогическом совете
405	документ самообследование	документы по самообследованию
405	10 12 1324 2013 деятельность минобрнаука организация подлежать показатель приказ самообследование утверждение	приказом минобрнауки от 10.12.2013 № 1324 об утверждении показателей деятельности организации, подлежащей самообследованию.
410	9 аттестация класс приказ проведение промежуточный	приказ о проведении промежуточной аттестации для 9 класса
410	10 2 8 аттестация класс приказ промежуточный	приказ о промежуточной аттестации 2-8,10 классы
410	аттестация приказ проведение промежуточный	приказы по проведению промежуточной аттестации
410	11 аттестация класс приказ проведение промежуточный	приказ о проведении промежуточной аттестации для 11 класса
410	акт аттестация проведение промежуточный распорядительный	распорядительный акт о проведении промежуточной аттестации
606	директор заместитель справка увр	справка по увр заместителя директора
606	итог мониторинг справка	справка по итогам мониторинга
606	образец справка справка циклограмма	циклограмма справок образцы справок
606	год замдиректора справка циклограмма	циклограмма справок замдиректора за год
606	вшк образец справка	образцы справок ВШК
606	2021 год на2020 справка учебный циклограмма	циклограмма справок на2020-2021 учебный год
2407	6 8 входной диагностика класс	входная диагностика 6-8 классах
2407	2 входной класс контрольный	входная контрольная 2 класс
2407	входной диагностика	как входная диагностика
2090	и ктп приказ программа рабочий утверждение	приказ об утверждении рабочих программ и ктп
2090	приказ программа рабочий	приказ по рабочим программам
2090	глухой приказ программа рабочий утверждение школа	приказ об утверждении рабочих программ в школе глухих
2090	приказ программа рабочий утверждение	приказ об утверждении рабочей программы
2090	дисциплина приказ программа рабочий утверждение учебный	приказ об утверждении рабочих программ учебных дисциплин
2090	внеурочный деятельность и кружок приказ программа утверждение	приказ об утверждении программ кружков и внеурочной деятельности
2090	день праздничный приказ программа рабочий с связь утверждение	приказ на утверждение рабочих программ в связи с праздничными днями
2087	внесение график изменение календарный ноо ооп приказ учебный	приказ внесение изменений в ооп ноо (календарный учебный график)
2087	внесение годовой график изменение календарный	о внесении изменений годовой календарный график
2087	2020 2021 внесение год график изменение календарный приказ учебный учебный	приказ о внесении изменений в календарный учебный график на 2020-2021 учебный год
2087	график изменение календарный несение ов	ов несении изменений в календарный график
2087	изменение куг	об изменении в куг
2087	график изменение учебный	об изменениях в учебный график
2087	внесение график изменение приказ учебный	приказ о внесении изменений в учебный график
1728	профстандарт учитель	профстандарты учителя
1728	новый профстандарт	новые профстандартами
2404	концепция математика	концепция математика
2404	концепция культура преподавание физический	концепция преподавания физической культуры
2404	концепция новый обж предметный технология	новые предметные концепции обж технология
2404	биология и концепция концепция однкнр преподавание экологический	концепция преподавания биологии, однкнр и концепция экологического
2404	концепция область предметный преподавание технология	концепция преподавания предметной области “технология”
2383	5 диагностика класс	диагностика в 5 классах
2383	диагностика ее и проанализировать проводить результат стартовый	как провести стартовую диагностику и проанализировать ее результаты
2383	диагностика класс стартовый	стартовая диагностика в классе
2383	20 2019 год диагностика начало стартовый учебный	стартовая диагностика в начале 2019/20 учебного года.
2477	документ занятие нормативный расписание составление учебный школа	нормативные документы для составления расписания учебных занятий в школе
2477	новый расписание требование	расписание по новым требованиям
2477	21 расписание санпин составлять урок	как составить расписание уроков:Санпин-21
2477	2 класс расписание	расписание 2 класс
