TemplateID	LmQuery	Query
266	1183н приказ	Приказ № 1183н
266	должность медработник номенклатура	Номенклатура должностей медработников
266	должность медработник номенклатура средний	Номенклатура должностей средних медработников
266	должность медработник младший номенклатура	Номенклатура должностей младших медработников
1812	алгоритм дезинфекция костюм противочумный	алгоритм дезинфекции противочумного костюма
1812	алгоритм дезинфекция сизый	алгоритм дезинфекция сиз
1812	алгоритм дезинфекция инфекционный костюм	алгоритм дезинфекция инфекционных костюмов
1812	алгоритм дезинфекция коронавирус обучать	обучающий алгоритм дезинфекции при коронавирусе
1944	227 косг	227 косгу
1944	227 244 квр косг	квр 244 косгу 227
1944	227 и квр косг	227 косгу и квр
1944	227 какой квр косг	227 косгу какой квр
1944	227 косг подстатья расход	расходы по подстатье косгу 227
1944	имущество косг страхование	страхование имущества косгу
1944	2021 227 год здравоохранение косг	косгу 227 в здравоохранении в 2021 году
1944	227 какой код косг относить подробно расход	какие расходы относить на код косгу 227 подробно
1944	какой косг объект опасный страхование учитывать	по какому косгу учесть страхование опасного объекта
1944	косг объект страхование	косгу для страхования объекта
1944	227 страхование	227 страхование
1943	291 косг относить	что отнести на косгу 291
1943	209н 295 косг применение	209н применение косгу 295
1943	209н 297 косг применение	209н применение косгу 297
1943	290 детализация косг с	косгу 290 с детализацией
1943	2019году 290 вид косг расход	видам расходов по косгу 290 в 2019году
1943	2018 290 косг	косгу 290 2018
1943	2019 290 косг	косгу 290 в 2019
1943	2019 290 год детализация косг	косгу 290 детализация 2019 год
1943	290 косг расшифровка	косгу 290 расшифровка
1943	290 косг относиться	косгу 290 что относится
1943	290 контракт косг обеспечение оплачивать с	можно ли оплатить обеспечение контракта с косгу 290
1943	290 косг	косгу 290
1943	290 340 косг н разъяснение	290-н разъяснения косгу 340
1943	290 вид косг расход	видам расходов по косгу 290
1943	290 код косг	код 290 косгу
1943	290 косг прочий расход	косгу 290 прочие расходы
1945	2020 2021 223 год косг косг	223 косгу в 2020 году по косгу 2021
1945	2019 223 6 85н июнь косг описание статья	6 июня 2019 85н описание статьи косгу 223
1945	вывоз косг отходы	вывоз отходов косгу
1945	223 бюджетный классификация косг	бюджетная классификация по косгу 223
1945	223 жидкий какой косг нечистота	жидкие нечистоты какая косгу 223
1945	223 косг	223 косгу
1945	2019 223 год косг расход с	расходы по косгу 223 с 2019 года
1945	223 косг расшифровка	расшифровка косгу 223
1945	209н 223 косг	209н косгу 223
1945	2021 223 косг	косгу 223 в 2021
1945	01 223 косг	косгу 223.01
1945	223 какой код косг относить подробно расход	какие расходы относить на код косгу 223 подробно
1946	2019 262 бюджетный год косг расшифровка учреждение	косгу 262 расшифровка в 2019 году для бюджетных учреждений
1946	2019 263 341 г категория косг ли льготный медикамент	косгу 263 ли 341 в 2019 г. по медикаментам для льготных категорий
1946	2019 262 263 год или какой компенсация косг оплачивать ребенок сирота	по какому косгу 262 или 263 оплачивать компенсации детям сиротам в 2019 году
1946	244 263 квр косг	263 косгу квр 244
1946	263 321 квр косг	263 косгу квр 321
1946	2019 262 год косг	косгу 262 2019 год
1946	262 263 косг применение	косгу 262, 263 применение
1946	262 321 косг	косгу 321 262
1946	262 косг относить	что отнести по 262 косгу
1946	262 косг	262 косгу
1946	262 косг статья	262 статья косгу
1946	косг страхование	косгу страхование
1946	263 какой квр косг	263 косгу какой квр
1946	261 какой квр косг	какой квр у 261 косгу
1946	262 какой квр косг	косгу 262 какая квр
1946	244 262 какой косг направление	262 косгу какое направление 244
1947	2019 295 год косг расшифровка	расшифровка 295 косгу на 2019 год
1947	косг пеня	пени косгу
1947	295 квр косг с увязка	квр в увязке с косгу 295
1947	292 295 косг	косгу 292-295
1947	295 косг	косгу 295
1947	295 вид косг расход	видам расходов по косгу 295
1947	291 косг	косгу 291
1947	2019 293 косг	косгу 293 в 2019
1947	295 административный косг штраф	косгу 295 административные штрафы
1947	2019 295 косг	косгу 295 в 2019
1947	2019году 295 косг	косгу 295 в 2019году?
1947	295 косг относиться	косгу 295 что относится
1947	291 косг расшифровка	расшифровка косгу 291
1947	292 косг расшифровка	расшифровка косгу 292
1947	295 косг расшифровка	расшифровка 295 косгу
1947	291 292 293 294 косг	косгу 291,292,293,294
1947	и какой квр косг налог относить прибыль	налог на прибыль на какой квр и КОСГУ отнести
1947	и какая квр косг оплата относить пеня	на какае косгу и квр отнести оплату пени
1947	293 какой квр косг	косгу 293 какой квр
1947	295 853 квр косг	косгу 295 квр 853
1947	293 853 квр косг	квр 853 косгу 293
1947	292 853 и квр косг	косгу 292 и квр 853
1947	293 косг проходить	проходит по косгу 293
1940	2021 225 косг	косгу 225 в 2021
1940	225 252 допы косг эк250	косгу 225 доп.эк250,252
1940	2019 225 226 и косг	косгу 225 и 226 в 2019
1940	209н 225 косг приказ	приказ 209н 225 косгу
1940	225 69н косг приказ	КОСГУ приказ 69н 225
1940	225 какой косг расход учитываться	какие расходы учитываются по косгу 225
1940	225 какой код косг относить подробно расход	какие расходы относить на код косгу 225 подробно
1940	225 какой код косг относить расход	какие расходы относить на код косгу 225
1940	225 какой косг расход	какие расходы 225 косгу
1940	225 какой косг относиться расход	какие расходы относятся 225 косгу
1940	225 какой косг отражаться подстатья расход	какие расходы отражаются по подстатье 225 косгу
1940	225 имущество косг подстатья применение работа содержание услуга	"применение подстатьи 225 ""работы, услуги по содержанию имущества""косгу"
1940	225 контроль косг производственный статья	производственный контроль статья 225 косгу
1940	225 косг расшифровывать	расшифровать 225 косгу
1940	225 косг расшифровка	225 КОСГУ расшифровка
1940	225 косг относиться	что относится к 225 косгу
1940	225 косг статья	статья 225 косгу
1940	225 косг	225 косгу
1940	225 включать косг себя	225 КОСГУ что включает в себя
1940	225 65н инструкция косг	косгу 225 инструкция 65н
1940	225 226 какой косг относиться	какие косгу относится 225,226
1940	225 косг обоснование расчет	расчет (обоснования) косгу 225
1940	225 классификация косг	классификация косгу 225
1940	225 имущество косг охрана	охрана имущества косгу 225
1940	225 здание косг охрана предприятие	охрана здания предприятия косгу 225
1940	косг мед ремонт техника	ремонт мед техники косгу
1940	заправка косг огнетушитель	заправка огнетушителей косгу
1940	аэродинамический и испытание косг определение состояние статья технический	аэродинамические испытания и определение технического состояния статья косгу
1940	затрата имущество какой косг недвижимый объект содержание	затраты на содержание объектов недвижимого имущества какое косгу
1941	296 косг	296 косгу
1941	2019 296 косг	косгу 296 в 2019
1941	296 косг расход	расходы косгу 296
1941	265 косг статья	статья косгу 265
1941	264 321 квр косг это	квр 321 косгу 264 что это
1941	296 323 квр косг	квр 323 косгу 296
1941	296 340 квр косг это	квр 340 косгу 296 что это?
1941	296 853 квр косг	косгу 296 квр 853
1941	264 вид какой косг относить расход	косгу 264- какой вид расходов относить?
1941	111 264 квр косг	косгу 264 квр 111
1941	264 косг это	косгу 264 что это
1941	265 компенсация косг расход	косгу 265 компенсация расходов
1941	265 компенсация косг переезд расход	косгу 265 компенсация расходов по переезду
1941	264 вкр косг	косгу 264 вкр
2330	клиника лист мед отходы проверять работа с чек	проверить работу с мед отходами в клинике по чек-листу
2330	лист отходы чек	чек листы по отходам
2330	контроль лист мед отходы чек	чек лист по контролю за мед отходами
2330	контроль лист мед отходы работа утилизация чек	чек лист по контролю работы утилизации мед отходов
2330	лист мед отходы проверять работа с чек	чек лист что проверить в работе с мед отходами
2330	лист мед обращение отходы с чек	чек листы по обращению с мед отходами
2330	контроль лист мед обращение отходы с чек	чек-лист по контролю с обращением мед отходов
2330	мед отходы проверять работа с	что проверить в работе с мед отходами
1936	226 косг статья	статья 226 косгу
1936	209н 226 косг	косгу 226 по 209н
1936	226 65н косг	65н 226 косгу
1936	226 353 и косг	косгу 226 и 353
1936	226 косг монтаж оборудование	косгу 226 монтаж оборудования
1936	209н 226 косг приказ	косгу 226 приказ 209н
1936	226 гпх косг услуга	косгу 226 услуги по гпх
1936	226 косг применение	применение косгу 226
1936	226 косг медицинский организация статья сторонний услуга	статья 226 косгу медицинские услуги сторонних организаций
1936	226 включать косг	что включает косгу 226?
1936	226 входить косг	что входит в 226 косгу
1936	косг типографский услуга	косгу типографские услуги
1936	226 код косг полный расшифровка статья	полная расшифровка кода (статья) косгу 226:
1936	226 косг расход	расходы по 226 косгу
1936	226 косг расход расшифровка	расшифровка расходов по 226 косгу
1936	226 вывод косг сигнал	косгу 226 вывод сигнала
1936	226 косг пожар	косгу 226 пожар
1936	226 244 гпх квр косг услуга	квр 244 косгу 226 услуги по гпх
1936	226 квр112 косг	квр112 косгу 226
1936	119 226 квр косг	косгу 226 квр 119
1936	226 косг расшифровка	расшифровка косгу 226
1936	2019 226 косг с статья	226 статья косгу с 2019
1936	2019 226 косг	косгу 226 в 2019
1936	2019 226 год косг расшифровка	расшифровка косгу 226 на 2019 год
1936	2020 226 год косг относиться с	косгу 226 с 2020 года что относится
1933	2019 266 выплата год денежный и квр косг несоциальный персонал прочий форма	прочие несоциальные выплаты персоналу в денежной форме квр и косгу 266 на 2019 год
1933	2019 266 косг	266 косгу 2019
1933	2019 266 год косг	косгу 266 в 2019 году
1933	2019 266 год косг с	косгу 266 с 2019 года
1933	266 выплата косг сотрудник	косгу 266 выплаты сотрудникам
1933	266 денежный и и квр компенсация косг персонал пособие социальный форма	социальные пособия и компенсации персоналу в денежной форме квр и косгу 266
1933	266 выплата косг пример	примеры выплат по 266 косгу
1933	266 входить косг ли оплата труд фонд	входит ли косгу 266 в фонд оплаты труда
1933	111 266 квр косг	квр 111 косгу 266
1933	112 266 квр косг	косгу 266 квр 112
1933	211 266 косг передвижка с	передвижка с косгу 211 на 266
1933	111 266 вид косг расход	вид расходов 111 косгу 266
1933	111 266 косг относиться	что относится косгу 111 266
1933	119 266 квр косг отражать	косгу 266 квр 119 что отражать
1933	119 266 вр косг	266 косгу 119 вр
1933	119 266 косг	косгу 119 266
1933	выплата какой косг относить социальный	социальная выплата на какой косгу отнести
1933	косг обеспечение работник социальный	социальное обеспечение работников косгу
1933	болезнь взнос день какой косг первый пособие три	по какому косгу взносы на пособие за первые три дня болезни
1933	выплата косг социальный	косгу социальная выплата
1933	выход какой косг материальный пенсия помощь проводить	материальная помощь при выходе на пенсию по какому косгу проводить
1933	266 какой код косг относить подробно расход	какие расходы относить на код косгу 266 подробно
1933	266 вид косг расход	видам расходов по косгу 266
1933	266 вид какой косг относить расход расход	к какому виду расходов отнести расходы по 266 косгу
1933	266 вид выплата какой косг относить	какие виды выплат отнести косгу 266
1933	выплата единовременный квр косг сотрудник	единовременная выплата сотруднику косгу квр
1933	выплата единовременный и какой квр косг относить предоставление сотрудник	по каким квр и косгу отнести предоставление единовременной выплаты сотруднику
1933	выход единовременный косг пенсия пособие	единовременное пособие при выходе на пенсию косгу
