TemplateID	LmQuery	Query
266	1183н	1183н
266	должность и медработник младший номенклатура средний	Номенклатура должностей средних и младших медработников
266	1183н 12 20 2012 минздрав приказ	Приказ Минздрава от 20.12.2012 № 1183н
1812	алгоритм дезинфекция костюм многоразовый противочумный	алгоритм по дезинфекции многоразового противочумного костюма
1812	алгоритм дезинфекция костюм	алгоритм дезинфекции костюма
1812	алгоритм использовать костюм обработка	алгоритм по обработке использованных костюмов
1944	227 косг перечень расход	перечень расходов косгу 227
1944	227 квр страхование	227 страхование квр
1943	209н 297 административный косг минфин оплата правонарушение приказ	приказ минфина 209н оплата административных правонарушений 297 косгу
1943	2019 290 год детализация косг с	косгу 290 с детализацией в 2019 году
1943	290 какой код косг относить подробно расход	какие расходы относить на код косгу 290 подробно
1945	2019 223 год косг	223 косгу в 2019 году
1945	2019 223 косг	косгу 223 в 2019
1946	2019 263 323 341 г категория квр косг ли льготный медикамент	косгу 263 ли 341 в 2019 г. по медикаментам для льготных категорий квр 323
1946	263 косг	263 косгу
1946	косг страховка	косгу страховка
1946	262 какой косг направление	262 косгу какое направление
1947	2019 293 косг налог	налоги косгу 293 в 2019
1947	292 косг статья	статья 292 косгу
1947	189 косг налог отражать прибыль расход	налог на прибыль как отразить в расходах косгу 189
1947	водоснабжение и какой квр косг несвоевременный оплата оплата относить пеня	на какую КОСГУ и квр отнести оплату пени за несвоевременную оплату за водоснабжение
1947	291 квр косг	косгу 291 квр
1940	06 225 расход статья	статья расходов 225.06
1940	225 250 252 допы косг эк	косгу 225 доп.эк 250,252
1940	225 бюджет какой относить расход	225 какие расходы относить по бюджету
1940	225 имущество косг содержание услуга	услуги по содержанию имущества 225 косгу
1940	дозиметр косг проверка	проверка дозиметров косгу
1940	безопасность какой косг проводить промышленный экспертиза	по какому косгу провести экспертизу промышленной безопасности
1940	имущество содержание услуга	услуги по содержанию имущества
1941	выплата какой квр после увольнение	выплаты после увольнения какое квр
1941	296 косг расшифровка	косгу 296 расшифровка
1941	264 косг	264 косгу
2330	лист мед отходы работа с чек	чек лист по работе с мед отходами
2330	безопасный лист медицинский обращение отходы проверочный	проверочный лист безопасное обращение медицинских отходов
1936	2019 226 244 вид год комментарий косг расход	комментарии к косгу 226 , вид расходов 244 на 2019 год
